Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
10410021	104100210																																																							
10410022	104100220	104100221																																																						
10710030	107100300																																																							
10710031	107100310																																																							
10710032	107100320	107100321																																																						
10110030	101100300																																																							
10110031	101100310																																																							
10110032	101100320	101100321																																																						
10510030	105100300																																																							
10510031	105100310																																																							
10510032	105100320	105100321																																																						
10210030	102100300																																																							
10210031	102100310																																																							
10210032	102100320	102100321																																																						
10810030	108100300																																																							
10810031	108100310																																																							
10810032	108100320	108100321																																																						
10910020	109100200																																																							
10910021	109100210																																																							
10910022	109100220	109100221																																																						
10410030	104100300																																																							
10410031	104100310																																																							
10410032	104100320	104100321																																																						
11110020	111100200																																																							
11110021	111100210																																																							
11110022	111100220	111100221																																																						
11210020	112100200																																																							
11210021	112100210																																																							
11210022	112100220	112100221																																																						
10210040	102100400																																																							
10210041	102100410																																																							
10210042	102100420	102100421																																																						
90001	900010	900011	900012	900013																																																				
90002	900020	900021	900022	900023																																																				
90003	900030	900031	900032	900033																																																				
90004	900040	900041	900042	900043	900044																																																			
90005	900050	900051	900052	900053																																																				
90006	900060	900061	900062	900063																																																				
90007	900070	900071	900072	900073																																																				
90008	900080	900081	900082	900083																																																				
90009	900090	900091																																																						
90010	900100																																																							
90011	900110																																																							
90012	900120																																																							
90013	9001300	9001301	9001302	9001303	9001304	9001305	9001306	9001307	9001308	9001309	9001310	9001311	9001312	9001313	9001314	9001315	9001316	9001317	9001318	9001319	9001320	9001321	9001322	9001323	9001324	9001325	9001326	9001327	9001328	9001329	9001330	9001331	9001332	9001333	9001334	9001335	9001336	9001337	9001338	9001339	9001340	9001341	9001342	9001343	9001344	9001345										
90014	900140	900141	900142																																																					
90015	900150	900151																																																						
90016	900160	900161	900162																																																					
90017	900170																																																							
90018	900180																																																							
90019	900190	900191																																																						
90020	900200																																																							
90021	900210																																																							
90022	900220																																																							
90023	900230	900231																																																						
90024	900240	900241	900242	900243																																																				
90025	900250	900251	900252																																																					
90026	900260																																																							
90027	900270																																																							
90030	900300	900301	900302																																																					
90031	9003100	9003101	9003102	9003103	9003104	9003105	9003106	9003107	9003108	9003109	9003110	9003111	9003112	9003113	9003114	9003115	9003116	9003117	9003118	9003119	9003120	9003121	9003122	9003123	9003124	9003125	9003126	9003127	9003128	9003129	9003130	9003131	9003132	9003133	9003134	9003135	9003136	9003137	9003138	9003139																
90032	900320	900321	900322	900323	900324	900325	900326	900327																																																
90033	900330	900331	900332	900333																																																				
90034	900340																																																							
90035	900350	900351	900352																																																					
90036	900360	900361	900362	900363																																																				
90037	900370	900371																																																						
90038	900380	900381	900382																																																					
90039	900390																																																							
90040	900400	900401	900402	900403	900404																																																			
90041	900410																																																							
90042	900420	900421	900422	900423																																																				
90043	900430	900431	900432	900433																																																				
90044	900440																																																							
90046	900460	900461	900462																																																					
90047	900470	900471	900472																																																					
90048	900480	900481	900482																																																					
90049	900490	900491	900492	900493																																																				
90050	900500																																																							
90051	900510	900511	900512	900513																																																				
90052	900520	900521	900522	900523																																																				
90053	900530																																																							
90054	900540	900541	900542																																																					
90055	900550	900551	900552	900553																																																				
90056	900560	900561	900562																																																					
90057	900570	900571	900572	900573																																																				
90058	900580	900581	900582	900583																																																				
90060	900600																																																							
90061	900610	900611	900612																																																					
90062	900620	900621	900622	900623	900624																																																			
90063	900630	900631	900632	900633	900634																																																			
90065	900650	900651	900652																																																					
90066	900660	900661																																																						
90067	900670	900671	900672	900673																																																				
90068	900680	900681	900682	900683																																																				
90069	900690																																																							
90070	900700	900701																																																						
90071	900710																																																							
90072	900720	900721	900722																																																					
90073	900730	900731	900732	900733																																																				
90074	900740	900741																																																						
90075	900750	900751	900752																																																					
90076	900760	900761	900762																																																					
91000	910000																																																							
91001	910010																																																							
12001	120010	120011	120012																																																					
12002	120020	120021	120022																																																					
12003	120030	120031	120032																																																					
12004	120040	120041	120042																																																					
12005	120050	120051	120052																																																					
12006	120060	120061	120062																																																					
12007	120062																																																							
14001	140011	140010																																																						
14002	140021	140081	140020																																																					
14003	140031	140030																																																						
14004	140041	140040																																																						
14005	140051	140050																																																						
14006	140061	140060																																																						
14007	140071	140070																																																						
14008	140081	140080																																																						
13001	130011	130010																																																						
13002	130021	130020																																																						
13003	130031	130030																																																						
13004	130041	130040																																																						
13005	130051	130050																																																						
13006	130061	130060																																																						
13007	130071	130070																																																						
13008	130081	130080																																																						
13009	130091	130090																																																						
13010	130101	130100																																																						
13011	130111	130110																																																						
13012	130121	130120																																																						
13013	130131	130130																																																						
13014	130141	130140																																																						
13015	130151	130150																																																						
13016	130161	130160																																																						
13017	130171	130170																																																						
13018	130181	130180																																																						
13019	130191	130190																																																						
13020	130201	130200																																																						
13021	130211	130210																																																						
13022	130221	130220																																																						
13023	130231	130230																																																						
13024	130241	130240																																																						
13025	130251	130250																																																						
13026	130261	130260																																																						
13027	130271	130270																																																						
13028	130281	130280																																																						
13029	130291	130290																																																						
13030	130301	130300																																																						
13031	130311	130310																																																						
13032	130321	130320																																																						
13033	130331	130330																																																						
13034	130341	130340																																																						
13035	130351	130350																																																						
13036	130361	130360																																																						
13037	130371	130370																																																						
13038	130381	130380																																																						
13039	130391	130390																																																						
13040	130401	130400																																																						
13041	130411	130410																																																						
13042	130421	130420																																																						
13043	130431	130430																																																						
13044	130441	130440																																																						
13045	130451	130450																																																						
13046	130461	130460																																																						
13047	130471	130470																																																						
13048	130481	130480																																																						
13049	130491	130490																																																						
13050	130501	130500																																																						
13051	130511	130510																																																						
13052	130521	130520																																																						
13053	130531	130530																																																						
13054	130541	130540																																																						
13055	130551	130550																																																						
13056	130561	130560																																																						
13057	130571	130570																																																						
13058	130581	130580																																																						
13059	130591	130590																																																						
13060	130601	130600																																																						
13061	130611	130610																																																						
13062	130621	130620																																																						
13063	130631	130630																																																						
13064	130641	130640																																																						
13065	130651	130650																																																						
13066	130661	130660																																																						
13067	130671	130670																																																						
13068	130681	130680																																																						
13069	130691	130690																																																						
13070	130701	130700																																																						
13071	130711	130710																																																						
13072	130721	130720																																																						
13073	130731	130730																																																						
13074	130741	130740																																																						
13075	130751	130750																																																						
13076	130761	130760																																																						
13077	130771	130770																																																						
13078	130781	130780																																																						
13079	130791	130790																																																						
13080	130801	130800																																																						
13081	130811	130810																																																						
13082	130821	130820																																																						
13083	130831	130830																																																						
13084	130841	130840																																																						
13085	130851	130850																																																						
13086	130861	130860																																																						
13087	130871	130870																																																						
13088	130881	130880																																																						
13089	130891	130890																																																						
13090	130901	130900																																																						
13091	130911	130910																																																						
13092	130921	130920																																																						
13093	130931	130930																																																						
13094	130941	130940																																																						
13095	130951	130950																																																						
13096	130961	130960																																																						
13097	130971	130970																																																						
13098	130981	130980																																																						
13099	130991	130990																																																						
13100	131001	131000																																																						
13101	131011	131010																																																						
13102	131021	131020																																																						
13103	131031	131030																																																						
13104	131041	131040																																																						
13105	131051	131050																																																						
13106	131061	131060																																																						
13107	131071	131070																																																						
13108	131081	131080																																																						
13109	131091	131090																																																						
13110	131101	131100																																																						
13111	131111	131110																																																						
13112	131121	131120																																																						
13113	131131	131130																																																						
13114	131141	131140																																																						
13115	131151	131150																																																						
13116	131161	131160																																																						
13117	131171	131170																																																						
13118	131181	131180																																																						
13119	131191	131190																																																						
13120	131201	131200																																																						
13121	131211	131210																																																						
13122	131221	131220																																																						
13123	131231	131230																																																						
13124	131241	131240																																																						
13125	131251	131250																																																						
13126	131261	131260																																																						
13127	131271	131270																																																						
13128	131281	131280																																																						
13129	131291	131290																																																						
13130	131301	131300																																																						
13131	131311	131310																																																						
13132	131321	131320																																																						
13133	131331	131330																																																						
13134	131341	131340																																																						
13135	131351	131350																																																						
13136	131361	131360																																																						
13137	131371	131370																																																						
13138	131381	131380																																																						
13139	131391	131390																																																						
13140	131401	131400																																																						
30000	300000	300001																																																						
30010	300100	300101																																																						
30020	300200	300201																																																						
30030	300300	300301																																																						
30200	302000	302001	302002																																																					
30210	302100	302101	302102																																																					
30220	302200	302201	302202																																																					
30230	302300	302301	302302																																																					
30300	303000	303001	303002																																																					
30310	303100	303101	303102																																																					
30320	303200	303201	303202																																																					
30330	303300	303301	303302																																																					
30400	304000	304001																																																						
30410	304100	304101																																																						
30420	304200	304201																																																						
30430	304300	304301																																																						
30500	305000	305001																																																						
30510	305100	305101																																																						
30520	305200	305201																																																						
30530	305300	305301																																																						
30600	306000	306001	306002																																																					
30610	306100	306101	306102																																																					
30620	306200	306201	306202																																																					
30630	306300	306301	306302																																																					
30640	306400																																																							
30650	306500																																																							
30660	306600																																																							
30670	306700																																																							
30680	306800																																																							
30690	306900																																																							
30700	307000																																																							
30710	307100																																																							
30720	307200																																																							
30730	307300																																																							
30740	307400																																																							
30750	307500																																																							
30760	307600																																																							
30770	307700																																																							
30780	307800																																																							
30790	307900																																																							
30800	308000																																																							
30810	308100																																																							
30820	308200																																																							
30830	308300																																																							
30840	308400																																																							
30850	308500																																																							
31000	310000	310001																																																						
31010	310100	310101																																																						
31020	310200	310201																																																						
31030	310300	310301																																																						
31040	310400	310401																																																						
31050	310500	310501																																																						
31060	310600	310601																																																						
31070	310700	310701																																																						
31080	310800	310801																																																						
31090	310900	310901																																																						
31100	311000	311001																																																						
31200	312000	312001																																																						
31210	312100	312101																																																						
31220	312200	312201																																																						
31230	312300	312301																																																						
31240	312400	312401																																																						
31250	312500	312501																																																						
31300	313000	313001																																																						
31310	313100	313101																																																						
31320	313200	313201																																																						
31330	313300	313301																																																						
31340	313400	313401																																																						
31350	313500	313501																																																						
31360	313600	313601																																																						
31400	314000	314001																																																						
31410	314100	314101																																																						
31420	314200	314201																																																						
31430	314300	314301																																																						
31440	314400	314401																																																						
31450	314500	314501																																																						
31460	314600	314601																																																						
31500	315000	315001																																																						
31510	315100	315101																																																						
31520	315200	315201																																																						
31530	315300	315301																																																						
31600	316000	316001																																																						
31610	316100	316101																																																						
31620	316200	316201																																																						
31630	316300	316301																																																						
31700	317000	317001	317002																																																					
31710	317100	317101	317102																																																					
31720	317200	317201	317202																																																					
31730	317300	317301	317302																																																					
31740	317400	317401	317402																																																					
31750	317500	317501	317502																																																					
31760	317600	317601	317602																																																					
31770	317700	317701	317702																																																					
31780	317800	317801	317802																																																					
31800	318000	318001	318002																																																					
31810	318100	318101	318102																																																					
31820	318200	318201	318202																																																					
31830	318300	318301	318302																																																					
31840	318400	318401	318402																																																					
31850	318500	318501	318502																																																					
31860	318600	318601	318602																																																					
31870	318700	318701	318702																																																					
31880	318800	318801	318802																																																					
31900	319000	319001	319002																																																					
31910	319100	319101	319102																																																					
31920	319200	319201	319202																																																					
31930	319300	319301	319302																																																					
31940	319400	319401	319402																																																					
31950	319500	319501	319502																																																					
31960	319600	319601	319602																																																					
31970	319700	319701	319702																																																					
31980	319800	319801	319802																																																					
31990	319900	319901	319902																																																					
32000	320000	320001	320002																																																					
32010	320100	320101	320102																																																					
32020	320200	320201	320202																																																					
32030	320300	320301	320302																																																					
32040	320400	320401	320402																																																					
32100	321000	321001	321002																																																					
32110	321100	321101	321102																																																					
32120	321200	321201	321202																																																					
32130	321300	321301	321302																																																					
32140	321400	321401	321402																																																					
32150	321500	321501	321502																																																					
32160	321600	321601	321602																																																					
32170	321700	321701	321702																																																					
32180	321800	321801	321802																																																					
32190	321900	321901	321902																																																					
32200	322000	322001	322002																																																					
32210	322100	322101	322102																																																					
32220	322200	322201	322202																																																					
32230	322300	322301	322302																																																					
32240	322400	322401	322402																																																					
32300	323000																																																							
32310	323100																																																							
32320	323200																																																							
32330	323300																																																							
32340	323400																																																							
32350	323500																																																							
32360	323600																																																							
32370	323700																																																							
32380	323800																																																							
32390	323900																																																							
32400	324000	324001																																																						
32410	324100	324101																																																						
32420	324200	324201																																																						
32430	324300	324301																																																						
33000	330000	330001	330002																																																					
33010	330100	330101	330102																																																					
33020	330200	330201	330202																																																					
33030	330300	330301	330302																																																					
33040	330400	330401	330402																																																					
33050	330500	330501	330502																																																					
33060	330600	330601	330602																																																					
33070	330700	330701	330702																																																					
33100	331000	331001	331002																																																					
33110	331100	331101	331102																																																					
33120	331200	331201	331202																																																					
33130	331300	331301	331302																																																					
33140	331400	331401	331402																																																					
33150	331500	331501	331502																																																					
33160	331600	331601	331602																																																					
33170	331700	331701	331702																																																					
33200	332000	332001	332002																																																					
33210	332100	332101	332102																																																					
33220	332200	332201	332202																																																					
33230	332300	332301	332302																																																					
33240	332400	332401	332402																																																					
33250	332500	332501	332502																																																					
33260	332600	332601	332602																																																					
33270	332700	332701	332702																																																					
33300	333000	333001	333002																																																					
33310	333100	333101	333102																																																					
33320	333200	333201	333202																																																					
33330	333300	333301	333302																																																					
33340	333400	333401	333402																																																					
33350	333500	333501	333502																																																					
33360	333600	333601	333602																																																					
33370	333700	333701	333702																																																					
33400	334000	334001	334002																																																					
33410	334100	334101	334102																																																					
33420	334200	334201	334202																																																					
33430	334300	334301	334302																																																					
33440	334400	334401	334402																																																					
33450	334500	334501	334502																																																					
33460	334600	334601	334602																																																					
33470	334700	334701	334702																																																					
33500	335000	335001	335002																																																					
33510	335100	335101	335102																																																					
33520	335200	335201	335202																																																					
33530	335300	335301	335302																																																					
33540	335400	335401	335402																																																					
33550	335500	335501	335502																																																					
33560	335600	335601	335602																																																					
33570	335700	335701	335702																																																					
33600	336000	336001	336002																																																					
33610	336100	336101	336102																																																					
33620	336200	336201	336202																																																					
33630	336300	336301	336302																																																					
33640	336400	336401	336402																																																					
33650	336500	336501	336502																																																					
33660	336600	336601	336602																																																					
33670	336700	336701	336702																																																					
33700	337000	337001	337002																																																					
33710	337100	337101	337102																																																					
33720	337200	337201	337202																																																					
33730	337300	337301	337302																																																					
33740	337400	337401	337402																																																					
33750	337500	337501	337502																																																					
33760	337600	337601	337602																																																					
33770	337700	337701	337702																																																					
33800	338000	338001	338002																																																					
33810	338100	338101	338102																																																					
33820	338200	338201	338202																																																					
33830	338300	338301	338302																																																					
33840	338400	338401	338402																																																					
33850	338500	338501	338502																																																					
33860	338600	338601	338602																																																					
33870	338700	338701	338702																																																					
33900	339000	339001	339002																																																					
33910	339100	339101	339102																																																					
33920	339200	339201	339202																																																					
33930	339300	339301	339302																																																					
33940	339400	339401	339402																																																					
33950	339500	339501	339502																																																					
33960	339600	339601	339602																																																					
33970	339700	339701	339702																																																					
34000	340000	340001	340002																																																					
34010	340100	340101	340102																																																					
34020	340200	340201	340202																																																					
34030	340300	340301	340302																																																					
34040	340400	340401	340402																																																					
34050	340500	340501	340502																																																					
34060	340600	340601	340602																																																					
34070	340700	340701	340702																																																					
34100	341000	341001	341002																																																					
34110	341100	341101	341102																																																					
34120	341200	341201	341202																																																					
34130	341300	341301	341302																																																					
34140	341400	341401	341402																																																					
34150	341500	341501	341502																																																					
34160	341600	341601	341602																																																					
34170	341700	341701	341702																																																					
34200	342000	342001	342002																																																					
34210	342100	342101	342102																																																					
34220	342200	342201	342202																																																					
34230	342300	342301	342302																																																					
34240	342400	342401	342402																																																					
34250	342500	342501	342502																																																					
34260	342600	342601	342602																																																					
34270	342700	342701	342702																																																					
34300	343000	343001	343002																																																					
34310	343100	343101	343102																																																					
34320	343200	343201	343202																																																					
34330	343300	343301	343302																																																					
34340	343400	343401	343402																																																					
34350	343500	343501	343502																																																					
34360	343600	343601	343602																																																					
34370	343700	343701	343702																																																					
35000	350000	350001	350002																																																					
35010	350100	350101	350102																																																					
35020	350200	350201	350202																																																					
35030	350300	350301	350302																																																					
35040	350400	350401	350402																																																					
35050	350500	350501	350502																																																					
35060	350600	350601	350602																																																					
35070	350700	350701	350702																																																					
35080	350800	350801	350802																																																					
35090	350900	350901	350902																																																					
35100	351000	351001	351002																																																					
35110	351100	351101	351102																																																					
35120	351200	351201	351202																																																					
35130	351300	351301	351302																																																					
35140	351400	351401	351402																																																					
35150	351500	351501	351502																																																					
35160	351600	351601	351602																																																					
35170	351700	351701	351702																																																					
35180	351800	351801	351802																																																					
35190	351900	351901	351902																																																					
35200	352000	352001	352002																																																					
35210	352100	352101	352102																																																					
35220	352200	352201	352202																																																					
35230	352300	352301	352302																																																					
35240	352400	352401	352402																																																					
35250	352500	352501	352502																																																					
35260	352600	352601	352602																																																					
35270	352700	352701	352702																																																					
35280	352800	352801	352802																																																					
35290	352900	352901	352902																																																					
35300	353000	353001	353002																																																					
35310	353100	353101	353102																																																					
35320	353200	353201	353202																																																					
35330	353300	353301	353302																																																					
35340	353400	353401	353402																																																					
35350	353500	353501	353502																																																					
35360	353600	353601	353602																																																					
35370	353700	353701	353702																																																					
35380	353800	353801	353802																																																					
35390	353900	353901	353902																																																					
35400	354000	354001	354002																																																					
35500	355000	355001	355002																																																					
35510	355100	355101	355102																																																					
35520	355200	355201	355202																																																					
35530	355300	355301	355302																																																					
35540	355400	355401	355402																																																					
35550	355500	355501	355502																																																					
35560	355600	355601	355602																																																					
35570	355700	355701	355702																																																					
35580	355800	355801	355802																																																					
35590	355900	355901	355902																																																					
35600	356000	356001	356002																																																					
35610	356100	356101	356102																																																					
35620	356200	356201	356202																																																					
35630	356300	356301	356302																																																					
35700	357000	357001																																																						
35710	357100	357101																																																						
35720	357200	357201																																																						
35730	357300	357301																																																						
36000	360000																																																							
